-417,-484,-379,-510
-528,-403,-417,-484
-596,-294,-528,-403
-603,-198,-596,-294
-623,-129,-603,-198
-618,-82,-623,-129
-604,0,-618,-82
-576,99,-604,0
-516,136,-576,99
-453,165,-516,136
-393,208,-453,165
-378,243,-393,208
-359,277,-378,243
-243,305,-359,277
-201,284,-243,305
-74,235,-201,284
-95,135,-74,235
-72,75,-95,135
-51,63,-72,75
-12,82,-51,63
25,145,-12,82
83,252,25,145
179,299,83,252
203,267,179,299
275,219,203,267
418,177,275,219
500,134,418,177
541,25,500,134
553,-72,541,25
536,-125,553,-72
499,-273,536,-125
363,-352,499,-273
222,-379,363,-352
163,-430,222,-379
67,-456,163,-430
-22,-465,67,-456
-105,-446,-22,-465
-141,-459,-105,-446
-236,-496,-141,-459
-302,-522,-236,-496
-388,-494,-302,-522
-410,-505,-388,-494
